"State","Speed","Gender","Age"
"Florida",45,"Male",80
"Arkansas",0,"Male",40
"North Carolina",35,"Male",36
"Missouri",0,"Female",56
"North Carolina",0,"Female",8
"Virginia",50,"Female",20
"North Carolina",45,"Male",34
"Illinois",0,"Male",55
"California",53,"Male",45
"Ohio",55,"Male",64
"Florida",60,"Female",38
"North Carolina",10,"Female",47
"California",21,"Female",23
"Wisconsin",18,"Male",54
"North Carolina",80,"Male",41
"Texas",0,"Male",77
"North Carolina",15,"Male",32
"Florida",0,"Male",48
"Florida",25,"Male",21
"Pennsylvania",50,"Male",57
"California",0,"Male",61
"Florida",60,"Male",76
"Florida",0,"Male",32
"South Carolina",55,"Male",64
"California",0,"Male",25
"Illinois",0,"Male",75
"Florida",55,"Female",43
"California",38,"Female",37
"California",55,"Male",5
"Texas",0,"Male",17
"Colorado",81,"Female",5
"Florida",45,"Male",20
"Pennsylvania",20,"Male",50
"North Carolina",55,"Male",69
"Pennsylvania",70,"Male",19
"Missouri",45,"Female",35
"Florida",60,"Male",17
"California",35,"Female",12
"California",35,"Male",26
"Florida",20,"Male",86
"California",0,"Male",6
"Utah",60,"Male",44
"South Carolina",45,"Female",49
"Florida",5,"Male",36
"North Carolina",65,"Male",37
"Wisconsin",55,"Female",37
"Florida",0,"Male",46
"Alabama",45,"Female",45
"New York",0,"Male",61
"North Carolina",65,"Female",66
"Kentucky",53,"Male",54
"South Carolina",65,"Female",21
"Texas",0,"Male",65
"Ohio",55,"Male",70
"North Carolina",45,"Male",44
"Wisconsin",55,"Male",68
"Florida",60,"Female",39
"Florida",30,"Male",28
"Nevada",25,"Male",50
"Mississippi",65,"Female",21
"Florida",50,"Female",59
"Ohio",50,"Male",53
"Virginia",65,"Male",75
"Washington",0,"Male",46
"Mississippi",70,"Female",26
"California",53,"Male",53
"Florida",10,"Female",81
"Illinois",17,"Male",31
"Kentucky",50,"Female",46
"New York",76,"Male",63
"Florida",0,"Female",50
"Mississippi",0,"Female",51
"Minnesota",60,"Male",59
"Florida",0,"Female",18
"Florida",3,"Male",30
"California",0,"Male",23
"Kentucky",60,"Male",52
"California",38,"Male",20
"California",0,"Male",78
"Florida",15,"Female",8
"Arizona",70,"Male",39
"South Carolina",60,"Male",48
"Ohio",10,"Male",48
"Virginia",15,"Male",60
"Pennsylvania",0,"Male",14
"California",48,"Female",12
"Florida",60,"Male",44
"Florida",55,"Female",39
"Florida",60,"Male",23
"Florida",80,"Male",27
"Oklahoma",0,"Male",32
"Wisconsin",0,"Male",37
"Arizona",65,"Female",1
"Virginia",40,"Female",14
"Florida",45,"Male",16
"Wisconsin",55,"Male",71
"Florida",40,"Male",58
"Missouri",52,"Female",24
"Alabama",50,"Male",25
"California",16,"Male",27
"Arizona",17,"Female",21
"California",0,"Female",66
"California",45,"Female",43
"Florida",65,"Male",26
"Minnesota",10,"Female",86
"Wisconsin",55,"Male",52
"South Carolina",55,"Male",9
"Louisiana",45,"Female",13
"Florida",10,"Female",80
"Florida",0,"Female",55
"Minnesota",50,"Male",24
"Wisconsin",35,"Male",50
"North Carolina",55,"Male",51
"Florida",50,"Male",52
"Florida",0,"Male",16
"Ohio",0,"Female",22
"California",40,"Male",27
"Illinois",0,"Male",51
"Connecticut",35,"Female",48
"Florida",60,"Male",26
"Louisiana",40,"Male",33
"Alabama",70,"Male",35
"Oregon",0,"Female",90
"Florida",55,"Male",17
"California",0,"Male",57
"Wisconsin",55,"Female",22
"Alabama",0,"Male",45
"Minnesota",60,"Male",70
"Pennsylvania",10,"Male",11
"Florida",45,"Male",81
"South Carolina",45,"Female",67
"Kentucky",65,"Male",61
"Texas",0,"Male",19
"Louisiana",50,"Male",54
"California",61,"Male",66
"Florida",70,"Male",27
"Maine",0,"Male",50
"North Carolina",45,"Male",57
"Alabama",70,"Male",16
"Wyoming",55,"Male",40
"Florida",70,"Male",8
"California",45,"Female",24
"California",0,"Male",59
"Florida",55,"Male",56
"Alabama",45,"Male",16
"California",64,"Female",13
"Wyoming",65,"Male",55
"Nevada",88,"Male",35
"Florida",50,"Male",27
"Louisiana",70,"Male",25
"Georgia",0,"Male",25
"Alabama",100,"Male",22
"California",68,"Male",49
"Washington",0,"Male",23
"South Carolina",25,"Male",55
"Ohio",40,"Female",64
"Texas",0,"Male",15
"Florida",55,"Male",20
"North Carolina",35,"Female",25
"Alabama",0,"Male",37
"California",108,"Male",26
"Louisiana",60,"Male",18
"Florida",15,"Female",15
"Virginia",60,"Male",20
"North Carolina",45,"Female",34
"Minnesota",25,"Female",20
"Florida",5,"Male",53
"South Carolina",55,"Female",45
"North Carolina",55,"Male",55
"California",0,"Female",54
"Ohio",35,"Male",62
"Pennsylvania",55,"Male",19
"Wyoming",65,"Male",48
"Pennsylvania",35,"Male",82
"South Carolina",55,"Male",65
"California",38,"Male",35
"North Carolina",25,"Male",74
"Florida",0,"Male",44
"Ohio",100,"Male",32
"Ohio",55,"Male",41
"Florida",35,"Male",48
"Wisconsin",55,"Male",28
"Alabama",65,"Male",27
"Louisiana",80,"Male",33
"Missouri",0,"Male",66
"Florida",55,"Female",5
"Alabama",65,"Male",58
"Florida",0,"Male",48
"Florida",70,"Male",21
"Florida",40,"Male",18
"Florida",70,"Male",58
"Texas",120,"Male",25
"Mississippi",50,"Female",22
"Ohio",72,"Male",18
"Florida",66,"Male",34
"South Carolina",20,"Female",67
"Louisiana",70,"Female",20
"Kentucky",95,"Male",25
"New Mexico",0,"Male",54
"Ohio",55,"Male",56
"Ohio",0,"Male",43
"South Carolina",70,"Male",70
"Texas",0,"Male",14
"Ohio",40,"Male",44
"Arizona",35,"Female",15
"California",13,"Male",56
"Wisconsin",20,"Male",30
"Florida",30,"Female",50
"California",0,"Female",88
"North Carolina",32,"Female",34
"California",0,"Male",3
"South Carolina",30,"Male",39
"North Carolina",0,"Male",29
"Missouri",0,"Male",60
"North Carolina",75,"Male",14
"South Carolina",57,"Female",19
"Ohio",45,"Male",67
"Colorado",75,"Male",31
"Pennsylvania",10,"Male",39
"Georgia",0,"Male",94
"California",10,"Male",53
"Alabama",70,"Male",63
"Kansas",35,"Female",33
"North Carolina",110,"Male",32
"Florida",62,"Male",56
"South Carolina",55,"Male",45
"North Carolina",35,"Male",46
"Pennsylvania",45,"Female",67
"Nebraska",0,"Male",68
"Florida",85,"Male",23
"Mississippi",35,"Female",14
"Washington",0,"Male",72
"Virginia",65,"Female",20
"Nevada",100,"Male",22
"North Carolina",10,"Male",89
"Florida",35,"Female",45
"California",73,"Male",50
"Nevada",0,"Male",66
"South Carolina",60,"Male",20
"Nevada",66,"Male",68
"Arizona",70,"Male",26
"Arizona",75,"Male",26
"California",40,"Female",40
"Louisiana",10,"Female",4
"Virginia",60,"Male",18
"New York",0,"Female",41
"Colorado",55,"Male",53
"California",70,"Female",66
"Florida",35,"Male",59
"Wisconsin",0,"Female",35
"Ohio",50,"Male",52
"California",45,"Female",44
"Kentucky",93,"Male",46
"Florida",60,"Male",63
"North Carolina",55,"Male",63
"Florida",0,"Male",66
"South Carolina",80,"Male",34
"Virginia",50,"Male",2
"Arizona",0,"Female",25
"Virginia",10,"Female",51
"Kentucky",0,"Male",37
"California",0,"Female",70
"Alabama",55,"Female",34
"New York",0,"Male",69
"South Carolina",35,"Male",20
"Pennsylvania",60,"Male",78
"North Carolina",35,"Male",55
"Florida",10,"Male",82
"South Carolina",92,"Male",23
"California",70,"Male",23
"North Carolina",45,"Male",22
"California",49,"Male",55
"Nevada",80,"Male",21
"Alabama",55,"Male",24
"Texas",34,"Female",19
"Pennsylvania",0,"Female",72
"Nevada",45,"Male",23
"South Carolina",59,"Female",31
"Florida",20,"Female",80
"Florida",5,"Female",33
"Ohio",10,"Female",39
"Virginia",70,"Male",46
"California",85,"Male",18
"South Carolina",45,"Male",34
"California",65,"Male",31
"Pennsylvania",50,"Female",39
"Tennessee",0,"Male",38
"Florida",40,"Male",55
"Florida",45,"Female",59
"Ohio",0,"Female",47
"Ohio",50,"Male",66
"Alabama",0,"Male",54
"Colorado",35,"Female",24
"Arizona",65,"Female",45
"California",0,"Female",36
