"State","Speed","Gender","Age"
"California",65,"Male",26
"Florida",60,"Male",58
"Mississippi",70,"Female",17
"Minnesota",55,"Male",30
"North Carolina",20,"Male",33
"Florida",65,"Male",17
"Florida",0,"Male",53
"Ohio",63,"Male",58
"Florida",20,"Female",23
"North Carolina",40,"Female",50
"North Carolina",55,"Male",22
"North Carolina",45,"Female",60
"South Carolina",35,"Male",39
"Arizona",50,"Male",68
"South Carolina",73,"Female",15
"Pennsylvania",89,"Male",19
"Nevada",62,"Male",35
"Rhode Island",24,"Male",42
"Florida",30,"Male",11
"Colorado",0,"Male",40
"Wisconsin",55,"Female",19
"California",0,"Female",50
"Alabama",70,"Male",25
"Ohio",65,"Male",29
"Louisiana",55,"Male",34
"South Dakota",65,"Female",58
"Florida",15,"Female",28
"Dist of Columbia",0,"Female",52
"Florida",0,"Male",13
"Florida",55,"Male",30
"North Carolina",15,"Male",23
"Illinois",80,"Male",25
"California",50,"Male",67
"Wisconsin",60,"Female",4
"Florida",0,"Male",40
"Texas",0,"Male",18
"California",60,"Female",51
"Virginia",35,"Female",49
"California",6,"Male",27
"Louisiana",55,"Female",42
"Virginia",70,"Male",72
"Virginia",35,"Male",51
"Pennsylvania",55,"Male",57
"Texas",0,"Male",62
"Pennsylvania",35,"Male",35
"Wisconsin",55,"Male",4
"Florida",45,"Male",38
"Pennsylvania",58,"Female",26
"Colorado",35,"Male",17
"Virginia",65,"Male",22
"Ohio",50,"Male",24
"North Carolina",65,"Male",19
"Wisconsin",0,"Male",51
"Nevada",70,"Male",18
"Florida",50,"Female",40
"Nevada",81,"Male",85
"North Carolina",55,"Male",24
"New York",55,"Male",48
"Georgia",0,"Female",1
"Louisiana",80,"Female",30
"Nevada",10,"Male",63
"Florida",70,"Female",78
"North Carolina",45,"Female",77
"Virginia",60,"Female",57
"Ohio",45,"Male",48
"Arizona",40,"Male",62
"Florida",35,"Male",28
"Indiana",0,"Male",45
"Louisiana",0,"Female",27
"Michigan",0,"Female",58
"Texas",0,"Male",31
"Florida",60,"Male",31
"Arizona",0,"Male",42
"Iowa",0,"Male",52
"Florida",10,"Female",6
"Florida",100,"Male",28
"California",50,"Male",50
"North Carolina",80,"Male",41
"Florida",64,"Female",18
"Arizona",20,"Male",47
"Louisiana",70,"Male",4
"New Jersey",0,"Female",53
"Pennsylvania",40,"Female",6
"Pennsylvania",55,"Male",42
"Pennsylvania",35,"Female",19
"Mississippi",50,"Female",52
"South Carolina",0,"Male",47
"Florida",35,"Female",45
"Nevada",0,"Male",35
"Florida",0,"Female",33
"Missouri",55,"Male",32
"North Carolina",60,"Male",55
"Mississippi",20,"Female",79
"South Carolina",45,"Male",35
"Utah",15,"Female",86
"Colorado",25,"Female",60
"California",45,"Female",22
"Texas",73,"Male",19
"Minnesota",30,"Male",68
"Ohio",0,"Male",52
"Minnesota",70,"Female",30
"Alabama",78,"Male",38
"Louisiana",100,"Male",39
"Ohio",0,"Male",58
"California",0,"Male",14
"North Carolina",65,"Female",72
"Florida",100,"Female",38
"Ohio",0,"Female",70
"Michigan",0,"Male",52
"Minnesota",50,"Male",49
"Georgia",0,"Female",28
"California",75,"Male",49
"California",65,"Male",19
"California",53,"Male",50
"Florida",55,"Male",28
"Nevada",65,"Female",60
"Florida",43,"Male",15
"Alabama",15,"Male",45
"California",0,"Female",33
"Florida",61,"Female",24
"Virginia",35,"Female",20
"Virginia",60,"Male",56
"Florida",45,"Male",62
"California",20,"Male",51
